Entity_Type,Precision,Recall,F1,Support,MCC,MCC_From_Confusion,Gold_Tokens,TP,TN,FP,FN
VULNERABILITY,0.791,0.775,0.783,258,0.781,0.79,429,332,115380,88,97
EXPLOIT,0.84,0.944,0.889,288,0.89,0.93,428,404,115392,77,24
MALWARE,0.68,0.716,0.698,1125,0.693,0.686,1970,1411,113263,664,559
THREAT_ACTOR,0.359,0.465,0.405,170,0.407,0.532,348,162,115260,289,186
APT,0.777,0.813,0.795,717,0.793,0.818,883,718,114808,206,165
TOOL,0.609,0.652,0.63,1396,0.623,0.679,2036,1327,113009,852,709
CAMPAIGN,0.333,0.317,0.325,41,0.327,0.484,84,27,115759,54,57
METHOD,0.346,0.436,0.386,397,0.373,0.656,2521,1099,111299,2077,1422
HASH,0.792,0.927,0.854,82,0.858,0.863,83,77,115794,20,6
IP,0.846,0.88,0.863,50,0.868,0.885,52,46,115837,8,6
INDICATOR,0.637,0.766,0.696,312,0.696,0.718,851,652,114674,372,199
INFRASTRUCTURE,0.56,0.618,0.587,144,0.588,0.624,260,161,115511,126,99
