Epoch,Precision,Recall,F1,Macro_F1,Accuracy,MCC,TP,TN,FP,FN
1,0.4133,0.4058,0.4095,0.3453,0.9233,0.407,3823,81167,4148,4854
2,0.5736,0.5297,0.5508,0.5361,0.938,0.583,4991,82808,2507,3686
3,0.6161,0.6083,0.6122,0.5856,0.9443,0.657,5731,83030,2285,2946
4,0.5782,0.6717,0.6215,0.61,0.9451,0.668,6329,82211,3104,2348
5,0.5915,0.6926,0.6381,0.6298,0.9468,0.688,6526,82333,2982,2151
6,0.6543,0.6854,0.6695,0.6338,0.9525,0.727,6458,83267,2048,2219
7,0.642,0.7069,0.6729,0.6485,0.9521,0.731,6660,83035,2280,2017
8,0.652,0.7105,0.68,0.6591,0.9528,0.74,6694,83161,2154,1983
9,0.6594,0.7177,0.6873,0.6654,0.9538,0.749,6762,83240,2075,1915
10,0.6577,0.7152,0.6853,0.6654,0.9539,0.746,6739,83224,2091,1938
